#Base,Mean,Median,Lower Quartile,Upper Quartile,10th Percentile,90th Percentile,ID
230-234,33.11833037857246,36.4,32.4,38.0,21.8,38.0,SRR25023301_1_val_1_fastqc_1
235-239,31.15450579936117,35.2,27.4,37.6,15.8,38.0,SRR25023301_1_val_1_fastqc_1
240-244,28.962197199342462,33.0,23.6,36.6,13.8,37.6,SRR25023301_1_val_1_fastqc_1
245-249,29.950141682028544,32.8,25.8,36.6,16.6,37.4,SRR25023301_1_val_1_fastqc_1
1,32.98974404741983,34.0,34.0,34.0,32.0,34.0,SRR25023301_2_val_2_fastqc_2
2,33.23123119773015,34.0,34.0,34.0,33.0,34.0,SRR25023301_2_val_2_fastqc_2
3,33.33087160722454,34.0,34.0,34.0,34.0,34.0,SRR25023301_2_val_2_fastqc_2
4,33.43977881651216,34.0,34.0,34.0,34.0,34.0,SRR25023301_2_val_2_fastqc_2
5,33.34656418151326,34.0,34.0,34.0,34.0,34.0,SRR25023301_2_val_2_fastqc_2
6,36.61640208688927,38.0,37.0,38.0,34.0,38.0,SRR25023301_2_val_2_fastqc_2
7,36.74396189158737,38.0,37.0,38.0,34.0,38.0,SRR25023301_2_val_2_fastqc_2
8,36.48146454110376,38.0,37.0,38.0,34.0,38.0,SRR25023301_2_val_2_fastqc_2
9,36.61573645399882,38.0,37.0,38.0,34.0,38.0,SRR25023301_2_val_2_fastqc_2
10-14,36.81078250910132,38.0,37.0,38.0,34.8,38.0,SRR25023301_2_val_2_fastqc_2
15-19,36.80831780809692,38.0,37.2,38.0,34.8,38.0,SRR25023301_2_val_2_fastqc_2
20-24,36.81577016053463,38.0,37.2,38.0,35.0,38.0,SRR25023301_2_val_2_fastqc_2
25-29,36.67572280389396,38.0,37.0,38.0,34.0,38.0,SRR25023301_2_val_2_fastqc_2
30-34,36.57393978544846,38.0,37.0,38.0,34.0,38.0,SRR25023301_2_val_2_fastqc_2
35-39,36.50432257768749,38.0,37.0,38.0,34.0,38.0,SRR25023301_2_val_2_fastqc_2
40-44,36.4759314227207,38.0,37.0,38.0,34.0,38.0,SRR25023301_2_val_2_fastqc_2
45-49,36.2711159169418,38.0,37.0,38.0,34.0,38.0,SRR25023301_2_val_2_fastqc_2
50-54,36.09113378074063,38.0,37.0,38.0,33.4,38.0,SRR25023301_2_val_2_fastqc_2
55-59,36.1557318050115,38.0,37.0,38.0,34.0,38.0,SRR25023301_2_val_2_fastqc_2
60-64,36.08886201448192,38.0,37.0,38.0,33.0,38.0,SRR25023301_2_val_2_fastqc_2
65-69,36.04771453733961,38.0,37.0,38.0,32.2,38.0,SRR25023301_2_val_2_fastqc_2
70-74,35.94028868359008,38.0,36.8,38.0,31.8,38.0,SRR25023301_2_val_2_fastqc_2
75-79,35.870909091074886,38.0,36.8,38.0,31.6,38.0,SRR25023301_2_val_2_fastqc_2
80-84,35.56717102350139,38.0,36.0,38.0,30.8,38.0,SRR25023301_2_val_2_fastqc_2
85-89,35.6081983301692,38.0,36.0,38.0,30.8,38.0,SRR25023301_2_val_2_fastqc_2
90-94,35.66368681101576,38.0,36.6,38.0,30.8,38.0,SRR25023301_2_val_2_fastqc_2
95-99,35.378061532042,38.0,36.0,38.0,29.8,38.0,SRR25023301_2_val_2_fastqc_2
100-104,35.49528193547736,38.0,36.0,38.0,30.0,38.0,SRR25023301_2_val_2_fastqc_2
105-109,35.450879438377136,38.0,36.0,38.0,29.8,38.0,SRR25023301_2_val_2_fastqc_2
110-114,35.30968508593443,38.0,36.0,38.0,28.8,38.0,SRR25023301_2_val_2_fastqc_2
115-119,35.0348158101735,37.2,35.6,38.0,27.8,38.0,SRR25023301_2_val_2_fastqc_2
120-124,35.24916170210467,37.8,36.0,38.0,28.6,38.0,SRR25023301_2_val_2_fastqc_2
125-129,35.0273156938691,37.2,35.6,38.0,27.6,38.0,SRR25023301_2_val_2_fastqc_2
130-134,34.69922180753056,37.0,34.8,38.0,26.2,38.0,SRR25023301_2_val_2_fastqc_2
135-139,35.1866369877928,37.2,35.8,38.0,28.2,38.0,SRR25023301_2_val_2_fastqc_2
140-144,34.870173056040734,37.4,35.2,38.0,27.0,38.0,SRR25023301_2_val_2_fastqc_2
145-149,34.93572284289416,37.2,35.2,38.0,27.2,38.0,SRR25023301_2_val_2_fastqc_2
150-154,34.804316795466136,37.2,34.8,38.0,26.6,38.0,SRR25023301_2_val_2_fastqc_2
155-159,34.574374416893626,37.0,34.8,38.0,25.8,38.0,SRR25023301_2_val_2_fastqc_2
160-164,34.89868409438998,37.0,34.8,38.0,27.2,38.0,SRR25023301_2_val_2_fastqc_2
165-169,34.78145663665406,37.0,34.8,38.0,27.6,38.0,SRR25023301_2_val_2_fastqc_2
170-174,34.7409346633129,37.0,34.8,38.0,27.2,38.0,SRR25023301_2_val_2_fastqc_2
175-179,34.88720137061981,37.0,34.8,38.0,27.6,38.0,SRR25023301_2_val_2_fastqc_2
180-184,34.43611098060735,37.0,34.2,38.0,25.8,38.0,SRR25023301_2_val_2_fastqc_2
185-189,34.13230242821535,37.0,34.0,38.0,24.2,38.0,SRR25023301_2_val_2_fastqc_2
190-194,34.08034928158883,37.0,34.0,38.0,24.2,38.0,SRR25023301_2_val_2_fastqc_2
195-199,33.578185619405986,37.0,33.8,38.0,23.2,38.0,SRR25023301_2_val_2_fastqc_2
200-204,32.828192457435456,36.2,31.2,38.0,22.6,38.0,SRR25023301_2_val_2_fastqc_2
205-209,30.53894079550601,34.4,26.2,37.0,14.8,38.0,SRR25023301_2_val_2_fastqc_2
210-214,31.0413123602038,34.4,27.4,37.0,17.6,38.0,SRR25023301_2_val_2_fastqc_2
215-219,32.35053430215191,35.6,30.0,37.6,20.8,38.0,SRR25023301_2_val_2_fastqc_2
220-224,29.125238258967705,33.0,23.8,36.8,12.4,37.4,SRR25023301_2_val_2_fastqc_2
225-229,27.41603875386531,30.6,20.6,35.8,10.0,37.2,SRR25023301_2_val_2_fastqc_2
230-234,26.58289059879757,29.6,18.2,35.8,10.0,37.0,SRR25023301_2_val_2_fastqc_2
235-239,25.331444037736475,27.2,15.6,34.8,9.4,37.0,SRR25023301_2_val_2_fastqc_2
240-244,25.57963156157745,27.6,16.2,34.8,9.8,37.4,SRR25023301_2_val_2_fastqc_2
245-249,25.91482447998885,27.0,18.6,34.2,10.8,37.0,SRR25023301_2_val_2_fastqc_2
1,33.54977378016415,34.0,34.0,34.0,34.0,34.0,SRR25023302_1_val_1_fastqc_1
2,33.581859805086246,34.0,34.0,34.0,34.0,34.0,SRR25023302_1_val_1_fastqc_1
3,33.65700162127225,34.0,34.0,34.0,34.0,34.0,SRR25023302_1_val_1_fastqc_1
4,33.69013479308016,34.0,34.0,34.0,34.0,34.0,SRR25023302_1_val_1_fastqc_1
5,33.68967260410987,34.0,34.0,34.0,34.0,34.0,SRR25023302_1_val_1_fastqc_1
6,37.34604954810196,38.0,38.0,38.0,37.0,38.0,SRR25023302_1_val_1_fastqc_1
