ID,Type,BRIP1 ,ERCC3 ,MSH2,FANCM ,ATR ,RAD51C ,MLH1,EPCAM,BRCA1 ,MLH1_Cont,KLLN,BRCA2 ,PMS2 ,PALB2,FANCI ,POLH 
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,0.9946089437642334,0.9938115485503909,-0.4694512379399435,0.9623938238189971,0.042565260491919873,0.022672011479702377,-1.2559753233820974,-0.6462839659294476,1.6759763256439801,1.3931306937824224,-0.9270416813896385,0.3170511843269085,0.45909751954788297,1.6925452986373222,-0.0012705360913290496,0.30844576283365455
SRR25023040_1_val_1_bismark_bt2_pe.bismark.cov,controls,0.6063858330669508,-0.9586042960504173,-0.42102011414178847,-0.9407558590847142,1.0622201001267981,0.43147515075344894,1.1234739390604291,1.1027530453377123,-0.9337979834409303,0.3337159743834422,-0.3881839583391376,-0.6367189682426857,0.10259754273349841,0.07907691019736554,0.09410754668234347,-0.14056771202548102
SRR25023041_1_val_1_bismark_bt2_pe.bismark.cov,controls,-0.8753027732828943,-0.29594195140025725,-0.8454788123448879,-0.31431238890563123,-1.5290827896364976,-1.729220195811503,-0.23115079762150967,-1.382595933251793,-0.08215708561757928,-0.5010657641053878,-0.34271902297476886,1.5919406269181549,0.9078565531608447,-0.35721656343052616,1.5662148052536122,-1.6439645681370367
SRR25023042_1_val_1_bismark_bt2_pe.bismark.cov,controls,0.5353688621410001,1.1233032686709274,1.6988666785946198,-0.8653828836847053,0.6821318662216854,0.5660974935034754,0.9032067634844453,0.34942855764420677,-0.5474512704379525,-1.3004528877931443,-0.03649296386571227,-0.3618615148439924,0.23339481655657837,-0.68309974956149,-1.1140315101265448,0.522327328427617
SRR25023043_1_val_1_bismark_bt2_pe.bismark.cov,controls,-1.26106086568929,-0.8625685697706446,0.037083485832000745,1.1580573078560534,-0.2578344372039091,0.7089755400748764,-0.5395545815412673,0.5766982961993212,-0.11256998614751763,0.07467198373266468,1.6944376265693424,-0.9104113281583868,-1.7029464319988052,-0.7313058958426707,-0.5450203057180814,0.9537591889012451
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,-1.243989638874596,-1.0832013049616773,0.09158912863246925,-0.6232160473961594,-0.4169122908562639,-0.1463564345810847,0.4459928480345649,4.483107985286714,-0.2524150412410942,-1.920790311930133,-0.7589362869602416,-0.4148966175884413,-0.36546026308757673,0.5263458228987352,1.2063163394898366,-2.4291405340812
SRR25023302_1_val_1_bismark_bt2_pe.bismark.cov,cases,-0.7840859428394623,-1.0502731466222812,-2.0382698807883695,-0.49302526408705216,-0.9525880565876288,-2.487907657402569,-0.6948208411836287,1.0342964193996718,-0.22512688038593243,-2.51512185129752,-2.1399777242983444,-0.8729229623796969,-2.3413448865015005,0.3713769489663806,-0.02915393940119772,-2.1257813309226488
SRR25023303_1_val_1_bismark_bt2_pe.bismark.cov,cases,-2.7199393400762437,-2.5977485568481216,-2.7851418095348373,-0.894357182882895,-1.2220517882649937,0.6801918111399916,-4.029379011173204,1.1558443595127488,-1.0754500650036203,-2.485377576369385,-1.6096658998400266,-1.6309938735614617,-3.600464580740661,-2.0335052884543363,-1.2885513740066694,-5.313213822276575
SRR25023304_1_val_1_bismark_bt2_pe.bismark.cov,cases,2.206283433166519,-1.8190326157542875,-1.1386893423169586,-1.1018095129193475,-2.132399644702214,2.520517321079223,-1.8749762000221468,-0.44809651691075786,-0.5954324924009328,-3.030275722961979,-0.19569143166330685,-1.2997786436145928,-2.736830450962561,0.015689459602849735,1.2533476913046229,-1.412279645942285
SRR25023305_1_val_1_bismark_bt2_pe.bismark.cov,cases,-2.89725715507373,-1.067755281313912,-0.003559955276475763,-0.7728882232582002,-1.6613944166917523,-1.333602636607469,-0.9134680372302125,0.7144934717490031,0.4758627049777382,0.5239775088990136,-0.04732195757723287,-0.4168879416806536,-0.2796203107755179,2.9431493360104866,-0.6722962359303275,-1.3222294150144887
